,explanation,type,word
137,a turning; circuitous route; deviation from a direct course,n. ,detour
138,"harm; damage; injury; something that causes damage, harm, or loss",n. Syn. harm; damage; injury,detriment
139,causing damage or harm; injurious,a. Syn. harmful; damaging,detrimental
140,"turn away from a principle, norm; depart; diverge",v. Syn. depart; diverge,deviate
141,technique or means; instrument; machine used to perform one or more relatively simple tasks,n. Syn. instrument,device
142,"form, plan, or arrange in the mind; transmit or give by will",v. Syn. invent; plan,devise
143,dedicate; contribute,v. Syn. dedicate; contribute,devote
144,"faithfulness; ardent, often selfless affection and dedication",n. Syn. faithfulness; dedication,devotion
145,consume; eat greedily; destroy completely ,v. Syn. consume; gorge; gobble,devour
146,analyze; examine; identify,v. Syn. analyze; examine; identify,diagnose
147,art of identifying disease; critical analysis of nature of something,n. ,diagnosis
148,graph; chart; figure or drawing made to illustrate a statement; plan,n. Syn. graph; chart,diagram
149,vocabulary that is for a specific group of people,n. ,dialect
150,length of straight line passing through the center of a circle and connecting two points on the circumference,n. ,diameter
151,prescribe; rule as a dictator,v. Syn. prescribe; determine,dictate
152,one who dictates; one who prescribes rules and maxims authoritatively for the direction of others.,n. ,dictator
153,choice and use of words in speech or writing,n. ,diction
154,nutritional plan; nourishment; a prescribed selection of foods,n. Syn. nourishment,diet
155,be or stand apart; disagree; be unlike; be distinguished,v. ,differ
156,break down; make more concise; convert food into absorbable substances,v. Syn. assimilate; ingest,digest
157,process by which food is converted into substances that can be absorbed and assimilated by the body,n. ,digestion
158,"of or performance to fingers, or to digits; done with the fingers",a. ,digital
159,quality or state of being worthy of esteem or respect.,n. Syn. nobility; honor,dignity
160,assiduous; industrious; hard-working,a. Syn. assiduous; industrious,diligent
161,weaken; make thinner or less concentrated by adding a liquid such as water,v. Syn. weaken; attenuate,dilute
162,emitting only a small amount of light; lacking in brightness,a. Syn. weak; faint,dim
163,a United States coin worth one tenth of a dollar ,n. ,dime
164,"measure of spatial extent, especially width, height, or length; size; aspect; element",n. Syn. measure; size,dimension
165,of or relating to dimensions,a. ,dimensional
166,dwindle; reduce; make smaller or less or to cause to appear so,v. Syn. dwindle; reduce; decrease,diminish
167,eat principal regular meal of the day; take dinner; give a dinner to,v. ,dine
168,darkened with smoke and grime; dirty or discolored,a. Syn. rusty; dull,dingy
169,"insert into a fluid and withdraw again; immerse for baptism; wet, as if by immersing; moisten; appear to move downward",v. ,dip
170,document certifying the successful completion of a course of study,n. ,diploma
171,tact; politics; negotiation between nations,n. Syn. tact; politics,diplomacy
172,"one who is in charge to deal with others, like an ambassador, who is appointed to represent a government in relations with other governments",n. ,diplomat
173,relating to diplomacy; marked by tact and sensitivity in dealing with others,a. Syn. tactful; politic,diplomatic
174,deprive of capability or effectiveness; unable; impair; diminish,v. ,disable
175,drawback; defect; hinder; unfavorable condition or circumstance,n. Syn. drawback; defect,disadvantage
176,feeling of dissatisfaction,n. ,disappointment
177,a feeling of disliking something or what someone is doing,n. Syn. dissatisfaction; objection,disapproval
178,catastrophe; misfortune,n. Syn. catastrophe; misfortune; calamity,disaster
179,extremely bad; terrible; dreadful,a. Syn. terrible; dreadful,disastrous
180,flat round plate; circular structure either in plants or animals,n. ,disc
181,throw out something from one's hand; get rid of,v. ,discard
182,detect; perceive,v. Syn. detect; perceive,discern
183,relieve of a burden or of contents; unload; pour forth or release; complete or carry out; give off,v. Syn. release,discharge
184,trait of being well behaved ; act of punishing ; system of rules of conduct or method of practice,n. Syn. training,discipline
185,unclose; open; remove a cover or envelope from; lay open or expose to view,v. ,disclose
186,distress; uneasiness; mental or bodily distress,n. Syn. distress; uneasiness,discomfort
187,give reduction in price on,v. ,discount
188,depress; take away hope from,v. Syn. depress,discourage
189,"formal, lengthy discussion of a subject; verbal exchange; conversation",n. Syn. conversation,discourse
190,free from ostentation or pretension; distinct; distinguishable,a. ,discreet
191,lack of consistency; difference,n. Syn. difference,discrepancy
192,knowing how to avoid embarrassment or distress; trait of judging wisely and objectively,n. Syn. prudence,discretion
193,make a clear distinction; distinguish; make sensible decisions; judge wisely,v. ,discriminate
194,view with scorn or contempt; feel with aversion,v. Syn. despise,disdain
195,state of dishonor; bring shame or dishonor upon,n. ,disgrace
196,dress or exterior put on for purposes of concealment or of deception,n. ,disguise
197,strong feelings of dislike; offend the taste or moral sense of,n. ,disgust
198,not inclined; having a disinclination; being unwilling ,a. ,disinclined
199,"substance which kills germs or viruses; agent for removing the causes of infection, as chlorine",n. ,disinfectant
200,causing gloom or depression; dreary; somber; melancholy,a. Syn. dreary; gloomy,dismal
201,destroy courage or resolution by exciting dread; cause to lose enthusiasm,v. Syn. discourage; frighten,dismay
202,stop considering; end employment or service of; discharge; refuse to accept or recognize,v. Syn. reject,dismiss
203,neglect of order or system; irregularity; disturbance; sickness,n. ,disorder
204,"difference; condition or fact of being unequal, as in age, rank, or degree",n. Syn. difference,disparity
205,act of sending off something; property of being prompt and efficient; message usually sent in haste,n. Syn. expedition; sending off,dispatch
206,scatter; drive away; cause to vanish,v. Syn. scatter,dispel
207,distribute; prepare and give out; deal out in parts or portions,v. Syn. distribute,dispense
208,move away from each other; cause to separate; cause to become widely known,v. Syn. scatter,disperse
209,"move or shift from the usual place or position, especially to force to leave a homeland",v. Syn. move; replace; substitute,displace
210,act of removing from office or employment ,n. ,displacement
211,exhibit; present or hold up to view; show; demonstrate; give evidence of; manifest,v. Syn. exhibit; present; show,display
212,get rid of; settle or decide a matter; place or set in a particular order; arrange,v. ,dispose
213,prepared; inclined; be ready; being particular condition of body or of health,a. ,disposed
214,natural or acquired habit with tendency; act or means of getting rid of something,n. Syn. temperament; nature; tendency,disposition
215,argument; angry altercation; quarrel; verbal controversy; debate,n. Syn. argument; debate,dispute
216,ignore; discount; take no notice of,v. Syn. ignore; discount,disregard
217,different; unlike,a. Syn. different; unlike,dissimilar
218,spend or expend wastefully; vanish by dispersion; drive away; disperse,v. Syn. waste; scatter,dissipate
219,melt; liquefy; cause to pass into solution; cause to disappear or vanish,v. ,dissolve
220,"space between two objects; length of a line, especially the shortest line joining two points or things that are separate",n. Syn. length; space,distance
221,far in space or time; cold in manner,a. Syn. faraway; remote,distant
222,definite; separate; different,a. Syn. definite; separate; different,distinct
223,excellence or eminence; note or mark of difference,n. Syn. contrast; discrimination,distinction
224,clear to the mind;  in a distinct way,ad. ,distinctly
225,characterize; differentiate; recognize,v. Syn. characterize; differentiate; recognize,distinguish
226,"prominent; celebrated, well-known or eminent because of past achievements",a. Syn. prominent; celebrated; eminent,distinguished
227,twist out of proper or natural relation of parts; misshape; misrepresent,v. Syn. deform; twist,distort
228,mistake of misrepresenting the facts,n. ,distortion
229,cause to turn away from original focus; pull in conflicting emotional directions; unsettle,v. Syn. disturb; divert,distract
230,extreme mental or emotional disturbance; obsession; confusion of affairs; being drawn apart,n. Syn. disorder,distraction
231,"discomfort; cause strain, anxiety, or suffering to",n. Syn. discomfort; affliction,distress
232,hand out; disseminate; allocate,v. Syn. disseminate; allocate,distribute
233,act of distributing or spreading or apportioning ,n. ,distribution
234,region; territory within which the lord has the power of coercing and punishing; division of territory,n. Syn. section; area; region,district
235,upset; bother; trouble emotionally or mentally; put out of order; disarrange,v. Syn. upset; bother,disturb
236,disorder; turmoil; mental or emotional unbalance or disorder,n. Syn. disorder; turmoil,disturbance
237,"trench made in the earth by digging; any long, narrow receptacle for water on the surface of the earth",n. Syn. trench,ditch
238,"plunge, especially headfirst, into water; plummet",v. Syn. plunge; plummet,dive
239,one who works underwater,n. ,diver
240,vary; go in different directions from the same point,v. Syn. vary,diverge
241,difference; deviation; separation; the act of moving away in different direction,n. Syn. difference; deviation; separation,divergence
242,differing in some characteristics; various,a. Syn. various,diverse
243,act of turning aside; pastime; activity that relaxes or entertains,n. Syn. a turning aside,diversion
244,point or respect in which things differ; difference,n. Syn. variety,diversity
245,distract; withdraw money and move into a different location,v. Syn. distract,divert
246,sever into two or more parts or pieces; separate into parts; cause to be separate,v. Syn. separate; part,divide
247,perceive intuitively; foresee future; have nature of or being a deity,v. ,divine
248,act or process of diving anything into parts; state of being divided; separation,n. ,division
249,end a marriage; legal dissolution of a marriage,n. Syn. separate,divorce
250,having or causing a whirling sensation,a. ,dizzy
251,deprive someone of benefits; remove or shorten the tail of an animal,v. ,dock
252,"principles presented for belief, as by religious;  principle of law; act of teaching; instruction",n. ,doctrine
253,provide written evidence; record in detail,v. Syn. record,document
254,film or TV program presenting the facts about a person or event; of or derived from documents,n. ,documentary
255,confirmation that some fact or statement is true ,n. ,documentation
256,avoid a blow by moving or shifting quickly aside; shifty or ingenious trick,v. ,dodge
257,"small toy with human figure, normally for little child",n. ,doll
258,field; territory over which rule or control is exercised;  networked computers that share a common address,n. Syn. field,domain
259,"building or house, especially as great hall, church, or temple; anything shaped like cupola",n. ,dome
260,house-hold; of or relating to the home ; within the country or home,a. Syn. house-hold; tame,domestic
261,major; important; outweighing,a. Syn. major; important,dominant
262,monopolize; command; rule; prevail; be prevalent in,v. Syn. monopolize; command; rule,dominate
263,grant; present as a gift to a fund or cause; contribute,v. Syn. grant; contribute,donate
264,grant; act of giving to a fund or cause,n. Syn. grant,donation
265,judgment; judicial sentence; penal decree; condemnation,n. ,doom
266,a college or university building for student living; a large bedroom where several people sleep,n. ,dormitory
267,quantity of medicine given; sufficient quantity; portion,n. ,dose
268,the shorter of two telegraphic signals used in Morse code; very small circular shape,n. ,dot
269,being in uncertainty as to belief respecting anything,n. Syn. skepticism; wonder; question,doubt
270,distrustful; skeptical; full of doubt; having doubt; not settled in opinion,a. Syn. distrustful; skeptical,doubtful
271,"free from fear or suspicion; very probably, in all likelihood; doubtlessly",ad. ,doubtless
272,commercial center of a town or city,n. ,downtown
273,"slumber; sleep lightly; be in dull or stupefied condition, as if half asleep; be drowsy",v. ,doze
274,rough outline; draw up an outline; sketch,n. Syn. sketch,draft
275,move or bring by force or with great effort,v. Syn. pull; move; haul,drag
276,draw out; flow out; waste,n. ,drain
277,"emptying accomplished by draining; gradual flowing off, as of a liquid",n. ,drainage
278,play; literary work intended for theater,n. Syn. play,drama
279,striking; sensational in appearance or thrilling in effect,a. Syn. striking,dramatic
280,represent something in a dramatic manner; add details to,v. ,dramatize
281,radical; taking effect violently or rapidly,a. Syn. radical; severe,drastic
282,cause to move continuously by force applied in advance of the thing moved; pull along; haul; drag,v. Syn. attract; entice,draw
283,"disadvantage or inconvenience; shortcoming; refund or remittance, such as a discount on duties or taxes",n. ,drawback
284,"boxlike container in a piece of furniture, made so as to slide in and out ",n. ,drawer
285,creation of artistic drawings,n. ,drawing
286,fearful or distasteful anticipation; terror; horror,n. Syn. fear; terror; horror,dread
287,very unpleasant;  distasteful or shocking,a. Syn. fearful,dreadful
288,"gloomy; dismal; dark, colorless, or cheerless",a. Syn. gloomy; dismal,dreary
289,wet through and through; soak; put potion down throat of; steep in moisture; wet thoroughly,v. ,drench
290,float; moving aimlessly; wander,v. Syn. float; moving aimlessly; wander,drift
291,bore; pierce; make a hole; practice; train,v. Syn. bore; pierce,drill
292,process of falling in drops; liquid or moisture that falls in drops; sound made by liquid falling in drops,n. ,drip
293,dry period; aridity; long period of abnormally low rainfall,n. Syn. aridity,drought
294,kill by submerging and suffocating in water; overwhelm in water; deaden one's awareness of,v. ,drown
295,questionable; filled with doubt,a. Syn. questionable,dubious
296,owed and payable immediately or on demand; proper and appropriate; fitting,a. ,due
297,lacking responsiveness or alertness; intellectually weak or obtuse,a. Syn. blunt; unsharpened; stupid; obtuse,dull
298,as it ought to be; properly; regularly,ad. ,duly
299,mute; lacking the power of speech,a. Syn. mute,dumb
300,sell at artificially low prices; throw away as refuse,v. ,dump
301,"one that corresponds exactly to another, especially an original; identical copy; facsimile",n. Syn. copy,duplicate
302,lasting; long-lasting; enduring,a. Syn. lasting; enduring,durable
303,length of time something lasts,n. Syn. length; period,duration
304,cause to seem small; check natural growth or development of,v. ,dwarf
305,live as a resident; exist in a given place or state,v. Syn. reside; inhabit,dwell
306,a person who inhabits a particular place,n. ,dweller
307,residence; place to live in; abode,n. Syn. residence; house,dwelling
308,substance used to color materials,n. Syn. pigment,dye
309,energetic; vigorously active,a. Syn. energetic,dynamic
0,avid; enthusiastic,a. Syn. avid; enthusiastic,eager
1,seriousness; reality; fixed determination; eagerness; intentness,n. ,earnest
2,quake from underground; disturbance that is extremely disruptive; temblor,n. Syn. quake; seism; temblor,earthquake
3,satisfaction; pleasure; entertainment; freedom from care,n. ,ease
4,"departing from a recognized, conventional, or established norm or pattern",a. Syn. irregular; odd; whimsical; bizarre,eccentric
5,"oddity; departure from that which is stated, regular, or usual; deviation from center",n. Syn. oddity; idiosyncrasy,eccentricity
6,sound reflected from an opposing surface and repeated to the ear; repetition of a sound,n. ,echo
7,darken; exceed in importance; outweigh,v. Syn. surpass,eclipse
8,science of the relationships between organisms and their environments,n. ,ecology
9,pertaining to economy; frugal; cheap,a. Syn. frugal; cheap; economical,economic
10,thrifty; saving; using the minimum of time or resources necessary for effectiveness,a. Syn. thrifty; saving,economical
11,branch of social science that deals with the production and distribution and consumption of goods and services and their management ,n. ,economics
12,save money or resource; cut back; be thrifty,v. ,economize
13,efficient use of resources; reduction in cost; specific type of economic system,n. ,economy
14,intense joy or delight; any overpowering emotion,n. Syn. joy; rapture,ecstasy
15,brink; perimeter; margin,n. Syn. brink; perimeter; margin,edge
16,"revise and prepare for publication; select, correct, arrange matter of, for publication",v. ,edit
17,whole number of copies of a work printed and published; single copy; act of editing,n. ,edition
18,of or pertaining to an editor; written or sanctioned by an editor,a. ,editorial
19,act or process of educating; the result of educating,n. Syn. upbringing; instruction,education
20,efficient; productive; producing a strong impression or response,a. Syn. efficient; productive,effective
21,efficiency; quality of being effective,n. Syn. efficiency,effectiveness
22,effectiveness; quality or property of being efficient; ratio of useful output to the total input in any system,n. Syn. effectiveness,efficiency
23,effective; acting directly to produce an effect; exhibiting a high ratio of output to input,a. Syn. effective,efficient
24,"exertion of strength or power, whether physical or mental, in performing an act or aiming at an object",n. ,effort
25,put out or expel from a place; discharge,v. Syn. emit; discharge,eject
26,marked by complexity and richness of detail; done with care and in minute detail,a. Syn. detailed; complicated,elaborate
27,production by gradual process; act of working out with great care in detail,n. Syn. intricacy,elaboration
28,slip or glide away; pass away silently,v. ,elapse
29,springing back; having the power of rebounding; able to return quickly to a former state or condition,a. ,elastic
30,tendency of a body to return to its original shape after it has been stretched or compressed,n. ,elasticity
31,hinge joint between the forearm and upper arm,n. ,elbow
32,voting; balloting;  right or ability to make a choice,n. Syn. voting; balloting,election
33,pertaining to electricity;  electric,a. Syn. electric,electrical
34,"one whose occupation is the installation, maintenance, repair, or operation of electric equipment and circuitry",n. ,electrician
35,elementary particle with negative charge,n. ,electron
36,of or pertaining to an electron or electrons.,a. ,electronic
37,branch of physics that deals with the behavior of electrons; electronic devices,n. ,electronics
38,refined quality of gracefulness and good taste,n. ,elegance
39,refined and tasteful in appearance or behavior or style,a. Syn. refined; exquisite,elegant
40,fundamental or essential constituent of a composite entity; basic assumptions or principles of a subject,n. Syn. component,element
41,basic; fundamental,a. Syn. basic; fundamental,elementary
42,raise; give a promotion to or assign to a higher position,v. Syn. raise; heave,elevate
43,altitude; height,n. Syn. altitude; height,elevation
44,lifting device consisting of a platform or cage,n. ,elevator
45,eradicate; abolish; rule out,v. Syn. eradicate; abolish,eliminate
46,act of removing or getting rid of something,n. ,elimination
47,omission of words from text; mark or series of marks used in writing to indicate omission,n. ,ellipsis
48,rounded like an egg; in a shape reminding of an ellipse; oval,a. Syn. oval,elliptical
49,powerful and effective language; persuasive speech,n. Syn. expressiveness,eloquence
50,vividly or movingly expressive; persuasive,a. Syn. expressive; persuasive,eloquent
51,difficult to describe; difficult to detect or grasp by mind,a. ,elusive
52,"free from bondage, oppression, or restraint; liberate",v. Syn. liberate; free; release,emancipate
53,freeing someone from the control of another,n. ,emancipation
54,ban on commerce or other activity,n. ,embargo
55,commence; go on board a boat or airplane; begin a journey,v. Syn. commence,embark
56,humiliate; shame;  cause to feel self-conscious or ill at ease; disconcert,v. Syn. humiliate; shame,embarrass
57,diplomatic building where ambassadors live or work; diplomatic representatives headed by an ambassador,n. ,embassy
58,give a bodily form to; represent in bodily or material form; incorporate,v. Syn. personify; incorporate,embody
59,"hug; adopt or espouse; accept readily; hold close with the arms, usually as an expression of affection",v. Syn. hug; encircle; include,embrace
60,decorate with needlework; add details to,v. Syn. decorate; adorn; embellish,embroider
61,elaboration by the use of decorative detail; ornamentation of fabric with needlework,n. ,embroidery
62,come into prominence; spring up; appear,v. Syn. appear,emerge
63,sudden unforeseen crisis; condition of urgent need for action or assistance,n. ,emergency
64,someone who leaves one country to settle in another,n. ,emigrant
65,"remove from one country or State to another, for the purpose of residence; migrate from home",v. ,emigrate
66,"standing out above other things; high in rank, office, or worth",a. Syn. prominent; high; lofty,eminent
67,radiation; discharge; act of emitting,n. Syn. radiation; emanation; discharge,emission
68,give off; send out; give out as sound,v. ,emit
69,feeling; mood; state of mental agitation or disturbance,n. Syn. feeling; mood,emotion
70,sentimental; passionate; excitable; easily moved,a. Syn. sentimental; passionate,emotional
71,special attention or effort directed toward something; stress,n. ,emphasis
72,stress; underscore; utter or pronounce with a particular stress of voice,v. Syn. stress; underscore; highlight,emphasize
73,derived from experiment and observation rather than theory,a. ,empirical
74,engage the services of; put to work; apply,v. Syn. apply; hire,employ
75,worker; person who works for another in return for financial or other compensation,n. Syn. worker,employee
76,a person or firm that employs workers,n. ,employer
77,act of employing or using; work in which one is engaged; occupation,n. ,employment
78,containing nothing; not holding or having anything within; void of contents or appropriate contents,a. Syn. vacant,empty
79,"supply with the means, knowledge, or opportunity; make able; make feasible or possible",v. ,enable
80,charm by sorcery; get control of by magical words and rites,v. ,enchant
81,form a circle about; enclose within a circle or ring; surround,v. Syn. surround,encircle
82,include; surround on all sides; close in,v. Syn. include; surround,enclose
83,place where animals are kept,n. ,enclosure
84,"face; confront;  meet, especially unexpectedly; come upon",v. Syn. face; confront; meet,encounter
85,activate; stimulate,v. Syn. activate; stimulate,encourage
86,threaten; jeopardize; do something that may damage it or destroy it,v. Syn. threaten; jeopardize,endanger
87,attempt by employing effort,v. Syn. seek; try; attempt,endeavor
88,without end; having no end or conclusion; perpetual; interminable,a. Syn. everlasting; eternal,endless
89,"acknowledge by signing a bill, draft, or other instrument; approve; support",v. Syn. approve; support,endorse
90,act of endorsing; support; formal and explicit approval; signature that validates something,n. Syn. indorsement,endorsement
91,grant; award; give qualities or abilities to,v. Syn. grant; award,endow
92,perseverance; state or fact of persevering; continuing existence,n. Syn. perseverance; stamina; duration,endurance
93,"tolerate; carry on through, despite hardships",v. Syn. tolerate,endure
94,active; brisk; vigorous,a. Syn. active; brisk; vigorous,energetic
95,exertion of force; capacity for work or vigorous activity; usable heat or power,n. Syn. vigor; power,energy
96,put force upon; force; constrain; compel; put in motion or action by violence,v. Syn. force; constrain; compel,enforce
97,"obtain for services of; arrange for the use of; pledge or promise, especially to marry",v. Syn. reserve,engage
98,"act of engaging, pledging, enlisting, occupying, or entering into contest; state of being in gear",n. ,engagement
99,"carve or cut into a block or surface, as used for printing; impress deeply as if by carving",v. Syn. carve; cut,engrave
100,"practice of incising a design onto a hard, flat surface, by cutting grooves into it",n. ,engraving
101,absorb or swallow up as in a gulf; flow over or cover completely,v. ,engulf
102,make better or more attractive; increase; improve,v. Syn. increase; improve,enhance
103,"act of increasing, or state of being increased; augmentation; aggravation",n. ,enhancement
104,"supply with light; illuminate, as the sun enlightens the earth; make clear to the intellect or conscience; give information to; inform or instruct",v. Syn. illuminate,enlighten
105,"very great in size, extent, number, or degrees; huge; massive",a. Syn. tremendous; huge; massive,enormous
106,seek information by asking a question,v. Syn. inquire,enquire
107,search for knowledge; systematic investigation,n. Syn. inquiry,enquiry
108,make rich; richen; improve,v. Syn. make rich; richen; improve,enrich
109,insert in a roil; register or enter in list or catalogue; insert in records; enlist,v. ,enroll
110,"act of enrolling; specifically, the registering, recording, or entering",n. ,enrolment
111,make sure or certain; insure; assure,v. ,ensure
112,imply or require; cause to ensue or accrue; cut or carve in ornamental way,v. Syn. require; necessitate; involve,entail
113,company; firm; organization created for business ventures ,n. Syn. company; firm; business,enterprise
114,amuse; host,v. Syn. amuse; host,entertain
115,amusement; fun,n. Syn. amusement; fun,entertainment
116,great excitement for or interest in a subject or cause;  feeling of excitement,n. ,enthusiasm
117,having or showing great excitement and interest,a. ,enthusiastic
118,give  right to; authorize; furnish with a right or claim to something; designate; give title to,v. Syn. name; designate,entitle
119,fill with delight or wonder; put into a trance; attract,v. ,entrance
120,plead; make earnest request of; ask for earnestly,v. Syn. plead,entreat
121,"give over something to another for care, protection, or performance; give as a trust to someone;",v. ,entrust
122,admission; entrance; item inserted in a written record,n. Syn. admission; entrance,entry
123,list each one; mention one by one,v. ,enumerate
124,enclose or encase completely with or as if with a covering,v. Syn. enclose; encase,envelop
125,surroundings; totality of surrounding conditions,n. Syn. circumstance,environment
126,"malice; ill will; discontent or uneasiness at another's excellence or good fortune, accompanied with hatred",n. ,envy
127,outbreak of a contagious disease that spreads rapidly and widely; widely prevalent,n. Syn. plague,epidemic
128,a brief section of a literary or dramatic work that forms part of a connected series,n. ,episode
129,"particular period of history, especially one considered remarkable",n. Syn. era,epoch
130,"having the same quantity, measure, or value as another; identical",a. Syn. same; identical,equal
131,state or quality of being equal,n. Syn. parity,equality
132,making equal; equal division; equality; equilibrium,n. Syn. equality; equilibrium,equation
133,"the imaginary great circle on the earth's surface, everywhere equally distant from the two poles, and dividing the earth's surface into two hemispheres",n. ,equator
134,"mental or emotional balance; state of balance of any causes, powers, or motives",n. Syn. balance,equilibrium
135,supply with necessities such as tools or provisions; furnish with the qualities necessary for performance,v. ,equip
136,apparatus,n. Syn. apparatus,equipment
137,"interchangeable; comparable; equal, as in value, force, or meaning",a. Syn. interchangeable; comparable; tantamount,equivalent
138,completely destroy; eliminate; exterminate,v. Syn. completely destroy; eliminate; exterminate,eradicate
139,"rub letters or characters written, engraved, or painted",v. Syn. remove; wipe,erase
140,construct; stand; set up,v. Syn. construct; stand,erect
141,corrosion; a gradual decline of something,n. Syn. corrosion,erosion
142,short trip taken to perform a specified task; mission; embassy,n. ,errand
143,explode; burst out; become violently active,v. Syn. explode,erupt
144,"outbreak;  sudden, often violent outburst",n. Syn. outbreak,eruption
145,stairway whose steps move continuously on a circulating belt,n. ,escalator
146,"act of fleeing from danger, of evading harm, or of avoiding notice; deliverance from injury or any evil",n. Syn. flee; elude; avoid,escape
147,"one who conducts someone as attendant; guard; protection, care, or safeguard on a journey",n. ,escort
148,effort made for performance of anything; short literary composition on a single subject,n. Syn. trial; attempt,essay
149,most essential or most vital part of some idea or experience,n. ,essence
150,necessary; critical; vital; constituting or being part of the essence of something,a. Syn. necessary; critical; vital; indispensable; fundamental,essential
151,set up or found; build,v. ,establish
152,"act of establishing; ratifying or ordaining; settlement; arranged order or system, especially a legal code",n. Syn. confirmation; settlement,establishment
153,extensive landed property; everything you own; all of your assets,n. Syn. property,estate
154,regard with respect; favorable regard,v. Syn. respect; prize; regard,esteem
155,judge to be probable; form an opinion about; evaluate,v. Syn. assess; appraise; evaluate,estimate
156,forever; being without beginning or end; existing outside of time; infinite,a. Syn. forever; everlasting,eternal
157,judge; examine and judge carefully; appraise,v. Syn. judge; appraise; estimate,evaluate
158,vaporize; disappear; change into a vapor,v. Syn. vaporize; disappear; vapor,evaporate
159,process of extracting moisture,n. ,evaporation
160,busy; momentous; full of events or incidents,a. Syn. busy; momentous,eventful
161,ultimately; in the final result or issue; in the end,ad. Syn. ultimately; finally,eventually
162,continuing forever or indefinitely,a. ,everlasting
163,something which makes evident or manifest; any mode of proof,n. Syn. proof; testimony,evidence
164,easily seen or understood; obvious; apparent; clear,a. Syn. obvious; apparent; clear,evident
165,development; progression,n. Syn. development; progression,evolution
166,develop; grow,v. Syn. develop; grow,evolve
167,"precisely agreeing with standard, fact, or truth; perfectly conforming",a. Syn. precise,exact
168,represent as greater than is actually the case; overstate; magnify; do something to an excessive degree,v. Syn. overstate; magnify,exaggerate
169,overstatement; act of making something more noticeable than usual,n. Syn. overstatement,exaggeration
170,raise in rank or dignity; praise,v. Syn. praise,exalt
171,"superior; elevated in rank, character, or status; of high moral or intellectual value",a. Syn. superior; noble; lofty,exalted
172,make worse; irritate; make very angry or impatient; annoy greatly,v. Syn. irritate,exasperate
173,go beyond; be or do something to a greater degree,v. ,exceed
174,in a very great degree; beyond what is usual; surpassingly,ad. ,exceedingly
175,be superior; distinguish oneself,v. ,excel
176,"surpassing others in some good quality or the sum of qualities; of great worth; eminent, in a good sense",a. Syn. outstanding; splendid,excellent
177,instance that does not conform to a rule,n. ,exception
178,extraordinary; unusual; well above average,a. Syn. extraordinary; unusual,exceptional
179,amount or quantity beyond what is normal or sufficient; surplus,a. Syn. extra; surplus,excess
180,extreme; inordinate; too much,a. Syn. extreme; inordinate,excessive
181,substitute; trade in; give in return for something received,n. Syn. substitute,exchange
182,arouse,v. Syn. arouse,excite
183,state of being emotionally aroused,n. ,excitement
184,creating or producing excitement,n. ,exciting
185,"cry out suddenly, as from surprise or emotion",v. Syn. call; shout,exclaim
186,leave out of; keep out of; reject,v. ,exclude
187,rejection; act of excluding or shutting out,n. Syn. omission; rejection,exclusion
188,not divided or shared with others; excluding much or all; not allowing something else,a. Syn. single; sole; incompatible,exclusive
189,without any others being included or involved; purely; strictly,ad. Syn. purely; strictly,exclusively
190,trip; usually short journey made for pleasure,n. Syn. trip; journey,excursion
191,free from blame; clear from guilt; release from a charge; forgive entirely,v. Syn. forgive,excuse
192,put into effect; carry out the legalities of,v. ,execute
193,accomplishment; putting into practice;  putting a person to death,n. Syn. accomplishment; putting into practice,execution
194,role of government which makes sure that laws are carried out; administrator,n. ,executive
195,serve as an example of; embody,v. Syn. embody,exemplify
196,not subject to duty or obligation; not subject to taxation,a. ,exempt
197,cause; apply; exercise,v. ,exert
198,effort; expenditure of much physical work,n. Syn. effort,exertion
199,gases ejected from an engine as waste products ; use up the whole supply of,n. ,exhaust
200,depleted; tired,a. Syn. depleted; tired,exhausted
201,act of draining out or draining off; act of emptying completely of the contents; state of being exhausted or emptied,n. ,exhaustion
202,treating all parts or aspects without omission; comprehensive,a. Syn. thorough; comprehensive,exhaustive
203,"show, make visible or apparent",v. Syn. display; show,exhibit
204,exposition; presentation; large-scale public showing,n. Syn. exposition; presentation; show,exhibition
205,force separation from one's native country,v. ,exile
206,passage or way out; act of going away or out,n. Syn. outlet,exit
207,acquit; free from blame; discharge from duty,v. Syn. acquit; exculpate,exonerate
208,become larger in size or volume; grow stronger; add details,v. Syn. dilate; extend,expand
209,growth; extent or amount by which something has expanded,n. Syn. growth,expansion
210,suitable; appropriate to a purpose; serving to promote your interest,a. Syn. suitable,expedient
211,process fast and efficiently; execute quickly and efficiently,v. ,expedite
212,journey organized for a particular purpose,n. ,expedition
213,oust; discharge;  force or drive out,v. Syn. oust; discharge,expel
214,"lay out, apply, or employ in any way; consume by use; use up or distribute, either in payment or in donations; spend",v. ,expend
215,payment or expense; output,n. Syn. output,expenditure
216,person with a high degree of skill in or knowledge of a certain subject,n. ,expert
217,specialized knowledge; expert skill,n. Syn. skill,expertise
218,act of coming to a close; termination; act of breathing out; exhalation,n. ,expiration
219,come to an end; terminate; lose validity; breathe one's last breath; die,v. Syn. end,expire
220,precisely and clearly expressed; definite; outspoken,a. Syn. definite; outspoken,explicit
221,erupt; blow up; burst violently as a result of internal pressure,v. Syn. erupt,explode
222,"make use of, sometimes unjustly",v. ,exploit
223,unfair use of someone’s work giving little in return,n. ,exploitation
224,travel for the purpose of discovery,n. ,exploration
225,investigate systematically; examine; search,v. Syn. investigate,explore
226,someone who travels into little known regions,n. ,explorer
